h3_titles,span_texts
Фицо рассказал об отношении Зеленского к транзиту газа через Украину в 2025 году,Лента добра
В США нашли способ завершить конфликт на Украине,
Татьяне Ким не удалось взыскать десятки миллиардов рублей с Бакальчука, В оккупированной Судже остаются три тысячи беженцев. Что сейчас происходит в городе?
Два крокодила растерзали и съели молодого человека в знаменитом национальном парке," Как бандит из Петербурга 1990-х устроил себе красивую жизнь на Карибах, угоняя яхты на заказ?"
В России предложили новый способ борьбы с мошенниками, Как SpaceX в 2024 году отправила миссию к Юпитеру и запустила самую мощную ракету в мире
Развеян популярный миф о грудных имплантах, Как пережить предновогодний коллапс и не выдохнуться?
В палате представителей не одобрили проект временного бюджета США, Почему от него остались только кости и что говорят его родственники?
В Ливии отвергли идею о переброске российских военных в страну," Битва за Курскую область, «Орешник» и инфляция: главные заявления Путина на прямой линии"
Эндокринолог рассказала об опасности обезжиренных продуктов," Как всесильный глава МВД СССР мог стать легендой, но пал жертвой алчности и вражды с КГБ"
В Словакии заявили о поражении Украины в конфликте с Россией, Как Поклонская из символа Русской весны и защитницы царя превратилась в «колдунью»
В России появился ГОСТ на подарок для новорожденных, Мужчина очнулся после комы и описал свои невероятные ощущения. Что он запомнил?
Россияне назвали самые желанные новогодние подарки," Ельцин отправлял в Чечню срочников, они сотнями попадали в плен. Что они пережили?"
Apple попросит помощи в Китае у создателя TikTok, Почему пал режим Башара Асада и как события в Сирии изменят ситуацию на Ближнем Востоке?
Парень сделал пугающее открытие после визита сантехника к нему домой, Башар Асад правил Сирией 24 года. Почему он не смог удержать власть?
Рогов сообщил о дезертирстве украинских военных в Курахово, Почему сирийцы рады свержению Асада и что они думают о захвативших власть повстанцах?
Духовное управление мусульман России разрешило религиозное многоженство, Как 19-летний россиянин стал самым молодым пожизненно осужденным в стране?
Глава Минюста Украины заявила о масштабной кибератаке на госреестры, В России судят членов «Черной армии». Как они держали в страхе целый регион?
Фон дер Ляйен сравнила поставки оружия Украине из Евросоюза и США," Лужков правил Москвой, сносил дома и боролся с геями. Почему он проиграл в битве за власть?"
Орбан предлагал России и Украине обменять сотни пленных, Что они значат и связаны ли с ядерной войной?
В МВФ перечислили основные факторы роста российской экономики, Секретные документы о полете Гагарина скрывали долгие годы. Почему в его успехе сомневались?
